,CAR MAKE,CAR MAKE LOCATION,CAR MODEL(Full Name),CAR MODEL(Short Name),CAR MODEL LOCATION,CAR TYPE,COLLECT,ADDED,BUYOUT NUM
0,ABARTH,"(1, 0)",1968 ABARTH 595 ESSEESSE,ABARTH 595 '68,3.0,CULT CARS,AUTOSHOW,SERIES 24,0
1,ABARTH,"(1, 0)",1980 ABARTH FIAT 131,ABARTH 131,2.0,CLASSIC RALLY,"BACKSTAGE, SEASONAL",SERIES 24,0
2,ABARTH,"(1, 0)",2016 ABARTH 695 BIPOSTO,ABARTH 695 '16,4.0,HOT HATCH,SEASONAL,SERIES 24,0
3,ABARTH,"(1, 0)",2017 ABARTH 124 SPIDER,ABARTH 124 '17,1.0,MODERN SPORTS CARS,SEASONAL,SERIES 24,0
4,ACURA,"(2, 0)",2001 ACURA INTEGRA TYPE-R,ACURA INTEGRA,1.0,RETRO HOT HATCH,AUTOSHOW,,0
5,ACURA,"(2, 0)",2002 ACURA RSX TYPE-S,ACURA RSX,3.0,RETRO HOT HATCH,AUTOSHOW,,0
6,ACURA,"(2, 0)",2017 ACURA NSX,ACURA NSX '17,2.0,MODERN SUPERCARS,AUTOSHOW,,0
7,ALFA ROMEO,"(3, 0)",1965 ALFA ROMEO GIULIA SPRINT GTA STRADALE,ALFA ROMEO GTA,6.0,RARE CLASSICS,AUTOSHOW,SERIES 24,0
8,ALFA ROMEO,"(3, 0)",1965 ALFA ROMEO GIULIA TZ2,ALFA ROMEO TZ2,7.0,CLASSIC RACERS,AUTOSHOW,SERIES 24,0
9,ALFA ROMEO,"(3, 0)",1968 ALFA ROMEO 33 STRADALE,ALFA ROMEO 33S,,CLASSIC RACERS,AUTOSHOW,SERIES 24,0
10,ALFA ROMEO,"(3, 0)",1992 ALFA ROMEO 155 Q4,ALFA ROMEO 155,2.0,RETRO SALOONS,"BACKSTAGE, SEASONAL",SERIES 24,0
11,ALFA ROMEO,"(3, 0)",2007 ALFA ROMEO 8C COMPETIZIONE,ALFA ROMEO 8C,5.0,GT CARS,SEASONAL,SERIES 24,0
12,ALFA ROMEO,"(3, 0)",2014 ALFA ROMEO 4C,ALFA ROMEO 4C,4.0,MODERN SPORTS CARS,SEASONAL,SERIES 24,0
13,ALFA ROMEO,"(3, 0)",2017 ALFA ROMEO GIULIA QUADRIFOGLIO,ALFA GIULIA '17,1.0,SUPER SALOONS,AUTOSHOW,SERIES 24,0
14,ALPINE,"(4, 0)",1973 ALPINE A110 1600S,ALPINE A110 '73,2.0,CLASSIC RALLY,AUTOSHOW,,0
15,ALPINE,"(4, 0)",2017 ALPINE A110,ALPINE A110 '17,1.0,MODERN SPORTS CARS,"BACKSTAGE, WHEELSPIN, SEASONAL",,0
16,ALUMI CRAFT,"(0, 1)",2015 ALUMICRAFT CLASS 10 RACE CAR,ALUMI CRAFT C.10,,UNLIMITED BUGGIES,"AUTOSHOW, WHEELSPIN",,0
17,ALUMI CRAFT,"(0, 1)",2021 ALUMICRAFT #122 CLASS 1 BUGGY,#122 AC CLASS 1,1.0,UNLIMITED BUGGIES,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
18,ALUMI CRAFT,"(0, 1)",2022 ALUMICRAFT #6165 TRICK TRUCK,#6165 TRUCK,2.0,UNLIMITED OFFROAD,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
19,AMC,"(1, 1)",1970 AMC REBEL THE MACHINE,AMC REBEL,3.0,CLASSIC MUSCLE,SEASONAL,SERIES 15,0
20,AMC,"(1, 1)",1971 AMC JAVELIN AMX,AMC JAVELIN,2.0,CLASSIC MUSCLE,SEASONAL,SERIES 15,0
21,AMC,"(1, 1)",1973 AMC GREMLIN X,AMC GREMLIN,1.0,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
22,AMG TRANSPORT DYNAMICS,"(2, 1)",2554 AMG TRANSPORT DYNAMICS M12S WARTHOG CST,M12S WARTHOG CST,,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
23,APOLLO,"(3, 1)",2018 APOLLO INTENSA EMOZIONE,APOLLO IE '18,1.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
24,APOLLO,"(3, 1)",2018 APOLLO INTENSA EMOZIONE 'WELCOME PACK',APOLLO IE WP,2.0,EXTREME TRACK TOYS,AUTOSHOW DLC,WELCOME PACK,0
25,ARIEL,"(4, 1)",2013 ARIEL ATOM 500 V8,ARIEL ATOM,1.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
26,ARIEL,"(4, 1)",2016 ARIEL NOMAD,ARIEL NOMAD,2.0,UNLIMITED BUGGIES,"AUTOSHOW, WHEELSPIN",,0
27,ASCARI,"(0, 2)",2012 ASCARI KZ1R,ASCARI KZ1R,,MODERN SUPERCARS,SEASONAL,SERIES 6,0
28,ASTON MARTIN,"(1, 2)",1958 ASTON MARTIN DBR1,AM DBR1,,CLASSIC RACERS,AUTOSHOW,SERIES 28,0
29,ASTON MARTIN,"(1, 2)",1964 ASTON MARTIN DB5,AM DB5,2.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
